12-08 13:23:27.625 15499-15499/com.example.qianyiwang.motiondatacollection V/record_toggle: true
12-08 13:23:27.635 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.035307437
12-08 13:23:27.635 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.2001618
12-08 13:23:27.635 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.50623053
12-08 13:23:27.635 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.73200953
12-08 13:23:27.650 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.16169545
12-08 13:23:27.651 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.71758485
12-08 13:23:27.651 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.30225247
12-08 13:23:27.651 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.49955928
12-08 13:23:27.669 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.03824926
12-08 13:23:27.669 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.73652554
12-08 13:23:27.669 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.4010851
12-08 13:23:27.669 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.44998482
12-08 13:23:27.688 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -9.448007E-4
12-08 13:23:27.688 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.9096548
12-08 13:23:27.689 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.11488354
12-08 13:23:27.689 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.50475496
12-08 13:23:27.709 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.043639325
12-08 13:23:27.709 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.9291596
12-08 13:23:27.710 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.18165472
12-08 13:23:27.710 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.42702726
12-08 13:23:27.732 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0094893575
12-08 13:23:27.732 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.002022
12-08 13:23:27.732 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.0028972924
12-08 13:23:27.732 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.40710303
12-08 13:23:27.749 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.017415958
12-08 13:23:27.749 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.84401333
12-08 13:23:27.749 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.18207182
12-08 13:23:27.749 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.5103041
12-08 13:23:27.769 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.0034486
12-08 13:23:27.769 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.0970773
12-08 13:23:27.770 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.12559806
12-08 13:23:27.770 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.44714865
12-08 13:23:27.790 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.07289265
