12-08 13:22:47.793 15499-15499/com.example.qianyiwang.motiondatacollection V/record_toggle: true
12-08 13:22:47.810 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.062169105
12-08 13:22:47.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.16161238
12-08 13:22:47.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.08725023
12-08 13:22:47.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.13087049
12-08 13:22:47.820 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.012003845
12-08 13:22:47.820 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.14711112
12-08 13:22:47.820 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2381657
12-08 13:22:47.820 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.030391797
12-08 13:22:47.841 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 6.401334E-4
12-08 13:22:47.841 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.21928957
12-08 13:22:47.841 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.123439446
12-08 13:22:47.841 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.02198477
12-08 13:22:47.861 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.02445925
12-08 13:22:47.861 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.16543278
12-08 13:22:47.861 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.19122654
12-08 13:22:47.861 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -6.1661564E-4
12-08 13:22:47.887 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.023905894
12-08 13:22:47.887 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.034763858
12-08 13:22:47.887 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.024128914
12-08 13:22:47.887 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.026825035
12-08 13:22:47.905 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.0075092055
12-08 13:22:47.905 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.06735726
12-08 13:22:47.905 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.304211
12-08 13:22:47.905 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.05963829
12-08 13:22:47.921 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.02535018
12-08 13:22:47.921 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.017776519
12-08 13:22:47.921 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.03345585
12-08 13:22:47.921 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.033810377
12-08 13:22:47.941 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0016051158
12-08 13:22:47.941 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.037764523
12-08 13:22:47.941 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.13762501
12-08 13:22:47.941 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.04473541
12-08 13:22:47.961 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.00584613
12-08 13:22:47.961 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.0010240786
12-08 13:22:47.961 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.06526315
12-08 13:22:47.961 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.009218816
12-08 13:22:47.984 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.02064239
12-08 13:22:47.984 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.041063253
12-08 13:22:47.984 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.09826097
12-08 13:22:47.984 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.063568085
12-08 13:22:48.005 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.019830355
12-08 13:22:48.005 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.08142601
12-08 13:22:48.005 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.14478439
12-08 13:22:48.005 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.04932439
12-08 13:22:48.021 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0137916785
12-08 13:22:48.022 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.079735965
12-08 13:22:48.022 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.118278086
12-08 13:22:48.022 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.014331501
12-08 13:22:48.042 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.004417936
12-08 13:22:48.042 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.17216973
12-08 13:22:48.042 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.042547658
12-08 13:22:48.042 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -9.7074546E-4
12-08 13:22:48.062 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.014347464
12-08 13:22:48.062 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.13469003
12-08 13:22:48.062 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.052108176
12-08 13:22:48.062 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.034992322
12-08 13:22:48.082 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.0037543206
12-08 13:22:48.082 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.015132628
12-08 13:22:48.082 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.23737973
12-08 13:22:48.082 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.04870329
12-08 13:22:48.105 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.04076562
12-08 13:22:48.105 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.050688088
12-08 13:22:48.106 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.21679924
12-08 13:22:48.106 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.09632605
12-08 13:22:48.122 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.021451335
12-08 13:22:48.122 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.114405364
12-08 13:22:48.123 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.0051297545
12-08 13:22:48.123 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.0054524764
12-08 13:22:48.142 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.030156458
12-08 13:22:48.142 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.05768556
12-08 13:22:48.142 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.078399494
12-08 13:22:48.142 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.08714447
12-08 13:22:48.163 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.046688687
12-08 13:22:48.164 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.011453796
12-08 13:22:48.164 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.0016537458
12-08 13:22:48.164 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.006401859
12-08 13:22:48.183 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.04536843
12-08 13:22:48.183 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.071760565
12-08 13:22:48.183 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.0743788
12-08 13:22:48.183 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.030238679
12-08 13:22:48.210 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.054940272
12-08 13:22:48.210 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.00523068
12-08 13:22:48.210 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.030767933
12-08 13:22:48.210 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.10335426
12-08 13:22:48.223 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.05542104
12-08 13:22:48.223 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.030137978
12-08 13:22:48.223 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.06737445
12-08 13:22:48.223 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.05365306
12-08 13:22:48.244 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.018534262
12-08 13:22:48.244 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.039999947
12-08 13:22:48.244 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.071851484
12-08 13:22:48.244 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.12521493
12-08 13:22:48.264 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.023770913
12-08 13:22:48.264 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.09451252
12-08 13:22:48.264 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.022978008
12-08 13:22:48.264 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.061833985
12-08 13:22:48.284 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0028070244
12-08 13:22:48.284 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.049092487
12-08 13:22:48.284 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.01178457
12-08 13:22:48.284 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.073181026
12-08 13:22:48.309 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.002684038
12-08 13:22:48.309 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.03061388
12-08 13:22:48.309 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.078449905
12-08 13:22:48.309 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.119818
12-08 13:22:48.324 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.01915131
12-08 13:22:48.324 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.14682567
12-08 13:22:48.324 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.058642976
12-08 13:22:48.324 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.11450334
12-08 13:22:48.344 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.06949428
12-08 13:22:48.344 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.055453375
12-08 13:22:48.344 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.13869615
12-08 13:22:48.344 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.16309348
12-08 13:22:48.364 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.044271242
12-08 13:22:48.364 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.096945874
12-08 13:22:48.364 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.09212241
12-08 13:22:48.364 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.16017276
12-08 13:22:48.384 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.025326304
12-08 13:22:48.384 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.16325721
12-08 13:22:48.384 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.086003296
12-08 13:22:48.384 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.18595408
12-08 13:22:48.413 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.102788
12-08 13:22:48.413 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.011614963
12-08 13:22:48.413 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.10340239
12-08 13:22:48.413 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.30814293
12-08 13:22:48.425 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.15400079
12-08 13:22:48.425 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.040163036
12-08 13:22:48.425 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.804505
12-08 13:22:48.425 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.32160106
12-08 13:22:48.445 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.095987335
12-08 13:22:48.445 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.70969427
12-08 13:22:48.445 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.7150743
12-08 13:22:48.445 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.20391831
12-08 13:22:48.465 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.013588816
12-08 13:22:48.465 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.8133898
12-08 13:22:48.465 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.28814876
12-08 13:22:48.465 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.108538106
12-08 13:22:48.485 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.32708132
12-08 13:22:48.485 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.2527734
