12-08 13:21:29.858 15499-15499/com.example.qianyiwang.motiondatacollection V/record_toggle: true
12-08 13:21:29.865 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.06326737
12-08 13:21:29.865 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.26159164
12-08 13:21:29.865 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.4552136
12-08 13:21:29.865 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.040333793
12-08 13:21:29.884 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.030035712
12-08 13:21:29.884 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.47864977
12-08 13:21:29.884 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.0009162
12-08 13:21:29.885 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.050353758
12-08 13:21:29.905 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.04089178
12-08 13:21:29.905 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.3138276
12-08 13:21:29.905 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.43489516
12-08 13:21:29.905 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.040645376
12-08 13:21:29.928 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.055196963
12-08 13:21:29.928 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.13056934
12-08 13:21:29.928 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.29752892
12-08 13:21:29.928 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.07955054
12-08 13:21:29.949 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.08218701
12-08 13:21:29.949 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.020198405
12-08 13:21:29.949 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2761526
12-08 13:21:29.949 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.15990192
12-08 13:21:29.966 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.027295422
12-08 13:21:29.966 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.123747006
12-08 13:21:29.966 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.08272736
12-08 13:21:29.966 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.22481859
12-08 13:21:29.985 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.027688146
12-08 13:21:29.985 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.011291094
12-08 13:21:29.985 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.03042896
12-08 13:21:29.985 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.16872829
12-08 13:21:30.006 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.029041167
12-08 13:21:30.006 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.227075
12-08 13:21:30.006 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.08007643
12-08 13:21:30.006 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.07884024
12-08 13:21:30.026 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.031658985
12-08 13:21:30.026 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.20486054
12-08 13:21:30.026 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.04194174
12-08 13:21:30.026 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.007078156
12-08 13:21:30.047 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0045158956
12-08 13:21:30.047 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.12841764
12-08 13:21:30.047 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.07726672
12-08 13:21:30.047 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.002452646
12-08 13:21:30.066 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.012908006
12-08 13:21:30.066 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.12583646
12-08 13:21:30.066 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.13958326
12-08 13:21:30.067 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.026598556
12-08 13:21:30.086 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.041441374
12-08 13:21:30.086 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.26672858
12-08 13:21:30.086 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.05088678
12-08 13:21:30.086 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.060905978
12-08 13:21:30.106 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.024521772
12-08 13:21:30.106 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.24159256
12-08 13:21:30.106 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.15383303
12-08 13:21:30.106 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.084376425
12-08 13:21:30.126 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.024499772
12-08 13:21:30.126 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.20203765
12-08 13:21:30.126 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.3485039
12-08 13:21:30.126 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.082682215
12-08 13:21:30.148 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.06585725
12-08 13:21:30.148 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.1766211
12-08 13:21:30.148 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2163963
12-08 13:21:30.148 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.11527512
12-08 13:21:30.167 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.033765852
12-08 13:21:30.167 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.15093525
12-08 13:21:30.167 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.18696462
12-08 13:21:30.167 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.064796686
12-08 13:21:30.186 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.03728421
12-08 13:21:30.186 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.20018707
12-08 13:21:30.187 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.37058204
12-08 13:21:30.187 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.1145037
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.09434625
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.21653101
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.029224545
12-08 13:21:30.207 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.13479638
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.08612435
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.16706328
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.16679527
12-08 13:21:30.227 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.19844705
12-08 13:21:30.247 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0016848296
12-08 13:21:30.247 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.17841285
12-08 13:21:30.247 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.23191999
