12-08 13:20:27.514 15499-15499/com.example.qianyiwang.motiondatacollection V/record_toggle: true
12-08 13:20:27.517 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.11156928
12-08 13:20:27.517 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.3168411
12-08 13:20:27.518 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.20479304
12-08 13:20:27.518 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.19974
12-08 13:20:27.537 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.040266205
12-08 13:20:27.537 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.15665269
12-08 13:20:27.537 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.13496156
12-08 13:20:27.537 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.086921975
12-08 13:20:27.559 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.045047805
12-08 13:20:27.559 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.087270245
12-08 13:20:27.559 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.0571595
12-08 13:20:27.560 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.16742027
12-08 13:20:27.581 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.057561465
12-08 13:20:27.581 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.012644798
12-08 13:20:27.581 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.0023852289
12-08 13:20:27.581 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.25287586
12-08 13:20:27.598 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.046321105
12-08 13:20:27.598 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.065710664
12-08 13:20:27.598 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.008807674
12-08 13:20:27.598 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.19116554
12-08 13:20:27.616 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.045799486
12-08 13:20:27.617 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.036110744
12-08 13:20:27.617 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.05114201
12-08 13:20:27.617 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.2426533
12-08 13:20:27.637 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0038833283
12-08 13:20:27.638 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.070702195
12-08 13:20:27.638 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.104522854
12-08 13:20:27.638 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.08983648
12-08 13:20:27.668 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.013960948
12-08 13:20:27.668 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.2225394
12-08 13:20:27.668 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.025675401
12-08 13:20:27.668 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.078710236
12-08 13:20:27.679 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.01485185
12-08 13:20:27.679 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.35190535
12-08 13:20:27.679 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.22028837
12-08 13:20:27.679 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -5.7668984E-4
12-08 13:20:27.697 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.007102093
12-08 13:20:27.697 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.23250583
12-08 13:20:27.697 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.20433538
12-08 13:20:27.697 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.06259845
12-08 13:20:27.717 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.016489109
12-08 13:20:27.717 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.111054435
